time_iso8601,stars_cumulative
2024-03-23 00:00:00+00:00,578
2024-03-25 00:00:00+00:00,579
2024-03-28 00:00:00+00:00,581
2024-03-29 00:00:00+00:00,582
2024-04-03 00:00:00+00:00,583
2024-04-04 00:00:00+00:00,584
2024-04-05 00:00:00+00:00,586
2024-04-08 00:00:00+00:00,588
2024-04-09 00:00:00+00:00,589
2024-04-11 00:00:00+00:00,590
2024-04-13 00:00:00+00:00,591
2024-04-15 00:00:00+00:00,593
2024-04-17 00:00:00+00:00,595
2024-04-18 00:00:00+00:00,596
2024-04-28 00:00:00+00:00,597
2024-04-30 00:00:00+00:00,598
2024-05-03 00:00:00+00:00,599
2024-05-04 00:00:00+00:00,600
2024-05-06 00:00:00+00:00,601
2024-05-08 00:00:00+00:00,603
2024-05-09 00:00:00+00:00,604
2024-05-11 00:00:00+00:00,605
2024-05-14 00:00:00+00:00,607
2024-05-16 00:00:00+00:00,608
2024-05-21 00:00:00+00:00,609
2024-05-22 00:00:00+00:00,610
2024-05-23 00:00:00+00:00,611
2024-05-24 00:00:00+00:00,614
2024-05-25 00:00:00+00:00,616
2024-05-26 00:00:00+00:00,617
2024-05-29 00:00:00+00:00,619
2024-05-31 00:00:00+00:00,620
2024-06-02 00:00:00+00:00,621
2024-06-03 00:00:00+00:00,622
2024-06-04 00:00:00+00:00,624
2024-06-14 00:00:00+00:00,626
2024-06-18 00:00:00+00:00,628
2024-06-19 00:00:00+00:00,630
2024-06-23 00:00:00+00:00,631
2024-06-26 00:00:00+00:00,632
2024-06-28 00:00:00+00:00,633
2024-07-04 00:00:00+00:00,634
2024-07-09 00:00:00+00:00,635
2024-07-11 00:00:00+00:00,636
2024-07-14 00:00:00+00:00,638
2024-07-16 00:00:00+00:00,641
2024-07-17 00:00:00+00:00,642
2024-07-21 00:00:00+00:00,643
2024-07-22 00:00:00+00:00,644
2024-07-23 00:00:00+00:00,646
2024-07-24 00:00:00+00:00,647
2024-07-25 00:00:00+00:00,648
2024-07-26 00:00:00+00:00,649
2024-07-27 00:00:00+00:00,651
2024-08-01 00:00:00+00:00,652
2024-08-03 00:00:00+00:00,653
2024-08-04 00:00:00+00:00,654
2024-08-06 00:00:00+00:00,655
2024-08-07 00:00:00+00:00,656
2024-08-19 00:00:00+00:00,657
2024-08-20 00:00:00+00:00,659
2024-08-22 00:00:00+00:00,661
2024-08-23 00:00:00+00:00,662
2024-08-29 00:00:00+00:00,663
2024-08-31 00:00:00+00:00,665
2024-09-02 00:00:00+00:00,666
2024-09-03 00:00:00+00:00,668
2024-09-04 00:00:00+00:00,669
2024-09-07 00:00:00+00:00,670
2024-09-10 00:00:00+00:00,671
2024-09-18 00:00:00+00:00,672
2024-09-19 00:00:00+00:00,673
2024-09-22 00:00:00+00:00,674
2024-09-23 00:00:00+00:00,676
2024-09-26 00:00:00+00:00,677
2024-09-29 00:00:00+00:00,678
2024-10-01 00:00:00+00:00,679
2024-10-04 00:00:00+00:00,680
2024-10-08 00:00:00+00:00,681
2024-10-11 00:00:00+00:00,682
2024-10-15 00:00:00+00:00,683
2024-10-17 00:00:00+00:00,684
2024-10-22 00:00:00+00:00,685
2024-10-23 00:00:00+00:00,686
2024-10-29 00:00:00+00:00,687
2024-10-30 00:00:00+00:00,689
2024-10-31 00:00:00+00:00,690
2024-11-01 00:00:00+00:00,694
2024-11-03 00:00:00+00:00,695
2024-11-06 00:00:00+00:00,696
2024-11-08 00:00:00+00:00,697
2024-11-10 00:00:00+00:00,698
2024-11-20 00:00:00+00:00,699
2024-11-27 00:00:00+00:00,700
2024-11-28 00:00:00+00:00,701
2024-12-01 00:00:00+00:00,702
2024-12-02 00:00:00+00:00,704
2024-12-03 00:00:00+00:00,705
2024-12-06 00:00:00+00:00,706
2024-12-09 00:00:00+00:00,707
2024-12-12 00:00:00+00:00,708
2024-12-13 00:00:00+00:00,709
2024-12-15 00:00:00+00:00,710
2024-12-17 00:00:00+00:00,711
2024-12-20 00:00:00+00:00,713
2025-01-08 00:00:00+00:00,714
2025-01-13 00:00:00+00:00,715
2025-01-17 00:00:00+00:00,716
2025-01-19 00:00:00+00:00,717
2025-01-20 00:00:00+00:00,718
2025-01-27 00:00:00+00:00,719
2025-02-03 00:00:00+00:00,720
2025-02-05 00:00:00+00:00,721
2025-02-06 00:00:00+00:00,723
2025-02-07 00:00:00+00:00,725
